classifier,feature_set,n_features,best_params,cv_balanced_accuracy,val_accuracy,val_balanced_accuracy,val_f1_weighted,val_roc_auc,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,confusion_matrix,model_path
gradient_boosting,selected_9,9,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",0.9017094017094017,0.7457627118644068,0.7439655172413793,0.7426514163802299,0.8014367816091954,0.6748768472906403,0.677891156462585,0.672817100221819,0.7557337220602527,"[[62, 43], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_gradient_boosting_selected_9.pkl
logistic_regression,selected_6,6,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",0.9006410256410257,0.7288135593220338,0.7278735632183908,0.7278743855015041,0.8117816091954023,0.6748768472906403,0.6775510204081632,0.6733101031260071,0.7534499514091351,"[[63, 42], [24, 74]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_logistic_regression_selected_6.pkl
gradient_boosting,med_diagnosis_all,2,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",0.9102564102564102,0.7288135593220338,0.7267241379310345,0.7243691810141715,0.8169540229885058,0.6699507389162561,0.6748299319727891,0.6639074575871319,0.7532069970845481,"[[56, 49], [18, 80]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_gradient_boosting_med_diagnosis_all.pkl
svm_rbf,filtered,31,"{""svc__C"": 3.0, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",0.9081196581196581,0.7288135593220338,0.7264367816091954,0.7230707876370887,0.7974137931034483,0.6699507389162561,0.6738095238095239,0.6663180577987879,0.747910592808552,"[[59, 46], [21, 77]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_svm_rbf_filtered.pkl
random_forest,all,36,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9091880341880342,0.7457627118644068,0.7433908045977011,0.7403788634097707,0.8310344827586207,0.6699507389162561,0.6738095238095239,0.6663180577987879,0.7441205053449952,"[[59, 46], [21, 77]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_random_forest_all.pkl
random_forest,selected_9,9,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.905982905982906,0.7542372881355932,0.7525862068965516,0.7516822850242438,0.8204022988505747,0.6699507389162561,0.6731292517006803,0.6675847943923584,0.7458697764820214,"[[61, 44], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_random_forest_selected_9.pkl
logistic_regression,med_diagnosis_all,2,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",0.9006410256410257,0.7203389830508474,0.7192528735632184,0.7190662355201246,0.8089080459770115,0.6699507389162561,0.6731292517006803,0.6675847943923584,0.7612244897959184,"[[61, 44], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_logistic_regression_med_diagnosis_all.pkl
gradient_boosting,all,36,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",0.9027777777777778,0.7542372881355932,0.7525862068965516,0.7516822850242438,0.8237068965517242,0.6699507389162561,0.6731292517006803,0.6675847943923584,0.7489310009718173,"[[61, 44], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_gradient_boosting_all.pkl
extra_trees,selected_6,6,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9102564102564102,0.7457627118644068,0.7442528735632183,0.7435487441883349,0.8096264367816092,0.6650246305418719,0.6690476190476191,0.6609735672704188,0.7559766763848397,"[[58, 47], [21, 77]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_extra_trees_selected_6.pkl
extra_trees,selected_9,9,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",0.9155982905982906,0.7372881355932204,0.735632183908046,0.7345569253707435,0.8135057471264366,0.6650246305418719,0.6687074829931973,0.6616847001719082,0.7517978620019438,"[[59, 46], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_extra_trees_selected_9.pkl
