feature_set,n_features,best_params,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_f1_weighted,confusion_matrix,n_nonzero_rules,rules_path
selected_3,3,"{""tree_size"": 3, ""sample_fract"": 0.8, ""max_rules"": 50}",0.7272988505747127,0.6798029556650246,0.6829931972789116,0.6775076363507955,"[[62, 43], [22, 76]]",16,/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/rules/05d_combined_rulefit_selected_3_rules.csv
selected_6,6,"{""tree_size"": 3, ""sample_fract"": 0.8, ""max_rules"": 100}",0.7614942528735633,0.6748768472906403,0.6782312925170069,0.6722589807965429,"[[61, 44], [22, 76]]",32,/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/rules/05d_combined_rulefit_selected_6_rules.csv
