learning_rate,dense_units,dropout,epochs_run,seconds,val_accuracy,val_balanced_accuracy,val_f1_weighted,val_roc_auc
0.001,256,0.5,6,4.394553184509277,0.6186440677966102,0.6195402298850574,0.6176837499588435,0.6899425287356322
0.0003,128,0.3,9,4.955895662307739,0.6186440677966102,0.6192528735632183,0.6182329762419532,0.6594827586206896
0.001,128,0.3,5,20.80974292755127,0.6186440677966102,0.617816091954023,0.6176820888685296,0.6408045977011495
0.0003,256,0.3,6,4.860810041427612,0.6016949152542372,0.5985632183908046,0.5873327386262266,0.6204022988505747
0.001,128,0.5,6,4.575452089309692,0.5932203389830508,0.5979885057471264,0.5589121009065826,0.6290229885057472
0.001,256,0.3,5,4.22142219543457,0.576271186440678,0.5741379310344827,0.5693268453346428,0.6304597701149426
0.0003,256,0.5,5,4.3323071002960205,0.559322033898305,0.5626436781609195,0.5420096852300242,0.6482758620689655
0.0003,128,0.5,5,3.984102964401245,0.5,0.5048850574712644,0.45500584339696143,0.5028735632183908
