feature_set,n_features,best_params,cv_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,confusion_matrix,model_path,rules_path
selected_6,6,"{""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 8, ""min_samples_split"": 2}",0.5964767787691604,0.5615763546798029,0.5544217687074829,0.5414568442890826,0.5475218658892128,"[[80, 25], [64, 34]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_selected_6.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_selected_6_rules.txt
selected_15,15,"{""criterion"": ""entropy"", ""max_depth"": 4, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",0.5929535575383207,0.5517241379310345,0.5452380952380952,0.5350182051831227,0.5465014577259475,"[[77, 28], [63, 35]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_selected_15.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_selected_15_rules.txt
selected_12,12,"{""criterion"": ""entropy"", ""max_depth"": 2, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.5914207275223061,0.541871921182266,0.5357142857142857,0.5266044551003298,0.5354227405247813,"[[75, 30], [63, 35]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_selected_12.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_selected_12_rules.txt
selected_9,9,"{""criterion"": ""entropy"", ""max_depth"": 2, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.5914207275223061,0.541871921182266,0.5357142857142857,0.5266044551003298,0.5354227405247813,"[[75, 30], [63, 35]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_selected_9.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_selected_9_rules.txt
all,26,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""min_samples_split"": 2}",0.6209791809654541,0.5221674876847291,0.5241496598639456,0.5207738821074334,0.5589893100097182,"[[49, 56], [41, 57]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_all.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_all_rules.txt
filtered,21,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""min_samples_split"": 2}",0.6209791809654541,0.5221674876847291,0.5241496598639456,0.5207738821074334,0.5589893100097182,"[[49, 56], [41, 57]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_filtered.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_filtered_rules.txt
selected_3,3,"{""criterion"": ""gini"", ""max_depth"": 2, ""min_samples_leaf"": 4, ""min_samples_split"": 2}",0.5887096774193548,0.5073891625615764,0.508843537414966,0.5066714894301101,0.508843537414966,"[[49, 56], [44, 54]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_selected_3.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_selected_3_rules.txt
selected_18,18,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.599290780141844,0.5024630541871922,0.503061224489796,0.5024630541871922,0.533041788143829,"[[51, 54], [47, 51]]",/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/models/05a_decision_tree_selected_18.pkl,/Users/samehissa/Downloads/XAI-Med-Images-Stat-Visual-Rules-main 2/covid_ct_run/exact_sequence/outputs/rules/05a_decision_tree_selected_18_rules.txt
