rule,type,coef,support,importance
coef_of_var > 1.4549120664596558,rule,-0.1316401504318345,0.5374149659863946,0.06563553614914662
coef_of_var <= 1.4843271970748901,rule,0.11038583050763742,0.6598639455782312,0.05229580638128606
coef_of_var <= 1.483989953994751,rule,0.10084030869501401,0.6020408163265306,0.04935900542086637
coef_of_var > 1.483989953994751,rule,-0.07903226072762012,0.3979591836734694,0.0386844689009843
coef_of_var > 1.4837758541107178,rule,-0.05022961703578439,0.3843537414965986,0.024433801747933845
coef_of_var > 1.4843271970748901,rule,-0.03418557213597388,0.3401360544217687,0.01619557558460989
coef_of_var <= 1.4356908798217773 & entropy > 3.8888001441955566,rule,0.0027596425931021296,0.40816326530612246,0.0013563468281021598
