rule,type,coef,support,importance
coef_of_var > 1.4549120664596558,rule,-0.1316401504318345,0.5374149659863946,0.0656355361491466
coef_of_var <= 1.4843271970748901,rule,0.1103858305076374,0.6598639455782312,0.052295806381286
coef_of_var <= 1.483989953994751,rule,0.100840308695014,0.6020408163265306,0.0493590054208663
coef_of_var > 1.483989953994751,rule,-0.0790322607276201,0.3979591836734694,0.0386844689009843
coef_of_var > 1.4837758541107178,rule,-0.0502296170357843,0.3843537414965986,0.0244338017479338
coef_of_var > 1.4843271970748901,rule,-0.0341855721359738,0.3401360544217687,0.0161955755846098
coef_of_var <= 1.4356908798217773 & entropy > 3.8888001441955566,rule,0.0027596425931021,0.4081632653061224,0.0013563468281021
