model_family,model,feature_set,n_features,accuracy,balanced_accuracy,f1_weighted,roc_auc,confusion_matrix
SS-VIRULEX,ss_virulex_logistic_regression_selected_6,selected_6,6.0,0.6748768472906403,0.6775510204081632,0.6733101031260071,0.7534499514091351,"[[63, 42], [24, 74]]"
SS-VIRULEX,ss_virulex_gradient_boosting_med_diagnosis_all,med_diagnosis_all,2.0,0.6699507389162561,0.6748299319727891,0.6639074575871319,0.7532069970845481,"[[56, 49], [18, 80]]"
SS-VIRULEX,ss_virulex_svm_rbf_filtered,filtered,31.0,0.6699507389162561,0.6738095238095239,0.6663180577987879,0.747910592808552,"[[59, 46], [21, 77]]"
SS-VIRULEX,ss_virulex_random_forest_all,all,36.0,0.6699507389162561,0.6738095238095239,0.6663180577987879,0.7441205053449952,"[[59, 46], [21, 77]]"
SS-VIRULEX,ss_virulex_random_forest_selected_9,selected_9,9.0,0.6699507389162561,0.6731292517006803,0.6675847943923584,0.7458697764820214,"[[61, 44], [23, 75]]"
SS-VIRULEX,ss_virulex_logistic_regression_med_diagnosis_all,med_diagnosis_all,2.0,0.6699507389162561,0.6731292517006803,0.6675847943923584,0.7612244897959184,"[[61, 44], [23, 75]]"
SS-VIRULEX,ss_virulex_gradient_boosting_all,all,36.0,0.6699507389162561,0.6731292517006803,0.6675847943923584,0.7489310009718173,"[[61, 44], [23, 75]]"
SS-VIRULEX,ss_virulex_extra_trees_selected_6,selected_6,6.0,0.6650246305418719,0.6690476190476191,0.6609735672704188,0.7559766763848397,"[[58, 47], [21, 77]]"
SS-VIRULEX,ss_virulex_extra_trees_selected_9,selected_9,9.0,0.6650246305418719,0.6687074829931973,0.6616847001719082,0.7517978620019438,"[[59, 46], [22, 76]]"
SS-VIRULEX,ss_virulex_logistic_regression_filtered,filtered,31.0,0.6650246305418719,0.6683673469387754,0.6623274347600745,0.7498542274052478,"[[60, 45], [23, 75]]"
SS-VIRULEX,ss_virulex_logistic_regression_all,all,36.0,0.6650246305418719,0.6683673469387754,0.6623274347600745,0.7494655004859087,"[[60, 45], [23, 75]]"
SS-VIRULEX,ss_virulex_logistic_regression_selected_9,selected_9,9.0,0.6650246305418719,0.6680272108843537,0.6629024668952075,0.75578231292517,"[[61, 44], [24, 74]]"
SS-VIRULEX,ss_virulex_random_forest_med_diagnosis_all,med_diagnosis_all,2.0,0.6600985221674877,0.6646258503401361,0.6547736076713025,0.7577745383867832,"[[56, 49], [20, 78]]"
SS-VIRULEX,ss_virulex_random_forest_selected_18,selected_18,18.0,0.6600985221674877,0.6639455782312925,0.6563574028077072,0.7424684159378037,"[[58, 47], [22, 76]]"
SS-VIRULEX,ss_virulex_hist_gradient_boosting_selected_18,selected_18,18.0,0.6600985221674877,0.6639455782312925,0.6563574028077072,0.7571428571428572,"[[58, 47], [22, 76]]"
SS-VIRULEX,ss_virulex_extra_trees_med_diagnosis_all,med_diagnosis_all,2.0,0.6600985221674877,0.6636054421768707,0.6570441978483323,0.7615160349854228,"[[59, 46], [23, 75]]"
SS-VIRULEX,ss_virulex_hist_gradient_boosting_med_diagnosis_all,med_diagnosis_all,2.0,0.6551724137931034,0.6598639455782314,0.6493235683043433,0.7572886297376094,"[[55, 50], [20, 78]]"
