model,feature,importance,source
ss_virulex_rulefit_selected_3,concept_score_absence_of_lobar_consolidation <= 0.7331579029560089,0.043132561132564,rulefit_rule
ss_virulex_rulefit_selected_3,concept_score_ground_glass_appearance > 0.514292985200882,0.0397155134743255,rulefit_rule
svis_rulex_rulefit,coef_of_var > 1.483989953994751,0.0386844689009843,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance > 0.5111531913280487,0.0345614105880385,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance <= 0.5708949565887451,0.0296438504459559,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_absence_of_lobar_consolidation > 0.6652792096138 & concept_score_absence_of_lobar_consolidation <= 0.8205206096172333 & entropy > 3.9191174507141113,0.0264899572677859,rulefit_rule
svis_rulex_rulefit,coef_of_var > 1.4837758541107178,0.0244338017479338,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance <= 0.5806722939014435,0.0226627845770897,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_crazy_paving_pattern > 0.32830823957920074,0.0222261343457398,rulefit_rule
svis_rulex_rulefit,coef_of_var > 1.4843271970748901,0.0161955755846098,rulefit_rule
ss_virulex_decision_tree,stat_iqr,0.012020938227604505,decision_tree
ss_virulex_rulefit_selected_6,concept_score_ground_glass_appearance > 0.5806722939014435,0.0105213076618452,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_crazy_paving_pattern <= 0.2803814262151718,0.0097425732970717,rulefit_rule
ss_virulex_decision_tree,concept_score_multilobar_distribution,0.007117118097122799,decision_tree
ss_virulex_rulefit_selected_3,concept_score_ground_glass_appearance <= 0.5111531913280487,0.0068606045455315,rulefit_rule
ss_virulex_rulefit_selected_6,concept_score_absence_of_lobar_consolidation > 0.6093150973320007,0.0061268632652205,rulefit_rule
ss_virulex_decision_tree,stat_mean_abs_dev,0.003324268147689353,decision_tree
svis_rulex_rulefit,coef_of_var <= 1.4356908798217773 & entropy > 3.8888001441955566,0.0013563468281021,rulefit_rule
svis_rulex_decision_tree,stat_shannon_entropy,0.0,decision_tree
ss_virulex_decision_tree,med_neural_prob_covid,0.0,decision_tree
ss_virulex_decision_tree,stat_entropy,0.0,decision_tree
ss_virulex_decision_tree,stat_signal_to_noise,0.0,decision_tree
ss_virulex_decision_tree,stat_coef_of_var,0.0,decision_tree
ss_virulex_decision_tree,concept_score_ground_glass_appearance,0.0,decision_tree
ss_virulex_decision_tree,concept_score_localized_or_diffuse_presentation,0.0,decision_tree
ss_virulex_decision_tree,concept_score_absence_of_lobar_consolidation,0.0,decision_tree
ss_virulex_decision_tree,concept_score_crazy_paving_pattern,0.0,decision_tree
ss_virulex_decision_tree,stat_shannon_entropy,0.0,decision_tree
ss_virulex_decision_tree,concept_score_bilateral_involvement,0.0,decision_tree
ss_virulex_decision_tree,stat_geometric_mean,0.0,decision_tree
svis_rulex_decision_tree,stat_geometric_mean,0.0,decision_tree
