stage,accuracy,balanced_accuracy,f1_weighted,roc_auc
custom_mobilenetv2_complete,0.7536945812807881,0.7520408163265306,0.7529734059380616,0.7997084548104956
combined_decision_tree_selected_15,0.6699507389162561,0.6741496598639456,0.665583403255367,0.7349368318756074
combined_rulefit_selected_3,0.6798029556650246,0.6829931972789116,0.6775076363507955,
combined_svm_rbf_all,0.6945812807881774,0.6979591836734693,0.6921220728694798,0.7484936831875608
combined_calibrated_threshold_logistic_regression_selected_9,0.7339901477832512,0.7312925170068028,0.7320718075028421,0.759086491739553
