classifier,feature_set,n_features,best_params,calibration_method,threshold_selection,threshold,uncalibrated_val_balanced_accuracy,calibrated_val_accuracy,calibrated_val_balanced_accuracy,calibrated_val_f1_weighted,calibrated_val_roc_auc,test_default_accuracy,test_default_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,confusion_matrix,model_path
hist_gradient_boosting,filtered,31,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",sigmoid,validation_balanced_accuracy,0.5320309304577192,0.7183908045977012,0.788135593220339,0.7882183908045977,0.7881508100850074,0.8135057471264369,0.6847290640394089,0.6857142857142857,0.7093596059113301,0.7095238095238096,0.7094442728384551,0.744460641399417,"[[74, 31], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_hist_gradient_boosting_filtered.pkl
svm_rbf,all,36,"{""svc__C"": 1.0, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",sigmoid,validation_balanced_accuracy,0.5041002042417021,0.7097701149425287,0.7542372881355932,0.7540229885057472,0.7541843030018819,0.789367816091954,0.7044334975369458,0.7047619047619047,0.7093596059113301,0.7095238095238096,0.7094442728384551,0.733527696793003,"[[74, 31], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_svm_rbf_all.pkl
extra_trees,med_diagnosis_all,2,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",sigmoid,validation_balanced_accuracy,0.6927493975741096,0.735632183908046,0.7711864406779662,0.7718390804597701,0.770939785745172,0.8149425287356321,0.6995073891625616,0.7003401360544218,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7580660835762876,"[[80, 25], [34, 64]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_extra_trees_med_diagnosis_all.pkl
gradient_boosting,med_diagnosis_all,2,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",sigmoid,validation_balanced_accuracy,0.56,0.7267241379310345,0.7627118644067796,0.7635057471264368,0.762302393939837,0.8169540229885058,0.6995073891625616,0.7,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7565597667638484,"[[80, 25], [34, 64]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_gradient_boosting_med_diagnosis_all.pkl
hist_gradient_boosting,med_diagnosis_all,2,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",sigmoid,validation_balanced_accuracy,0.5570766982351808,0.718103448275862,0.7796610169491526,0.7804597701149425,0.7792807943727058,0.8255747126436782,0.6995073891625616,0.6996598639455782,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7478134110787171,"[[80, 25], [34, 64]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_hist_gradient_boosting_med_diagnosis_all.pkl
random_forest,med_diagnosis_all,2,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",sigmoid,validation_balanced_accuracy,0.6875378579548145,0.7353448275862069,0.7711864406779662,0.7721264367816092,0.770610249975306,0.8224137931034483,0.6650246305418719,0.6683673469387754,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7485908649173956,"[[80, 25], [34, 64]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_random_forest_med_diagnosis_all.pkl
extra_trees,filtered,31,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",sigmoid,validation_balanced_accuracy,0.48000000000000004,0.7600574712643677,0.7966101694915254,0.7959770114942528,0.796258689369679,0.8327586206896551,0.7044334975369458,0.7064625850340136,0.7044334975369458,0.7064625850340136,0.7037297677691766,0.7421282798833819,"[[68, 37], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_extra_trees_filtered.pkl
random_forest,filtered,31,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",sigmoid,validation_balanced_accuracy,0.521998933815178,0.7520114942528735,0.7711864406779662,0.7709770114942529,0.7711371096914074,0.8284482758620689,0.7044334975369458,0.7061224489795919,0.7044334975369458,0.7061224489795919,0.7040028936580661,0.7346938775510203,"[[69, 36], [24, 74]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_random_forest_filtered.pkl
svm_rbf,selected_18,18,"{""svc__C"": 0.3, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",sigmoid,validation_balanced_accuracy,0.49,0.7270114942528736,0.7627118644067796,0.7623563218390805,0.7625753742511322,0.8103448275862069,0.7142857142857143,0.7142857142857143,0.7044334975369458,0.7047619047619047,0.7045195848677602,0.7329446064139943,"[[73, 32], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_svm_rbf_selected_18.pkl
extra_trees,selected_9,9,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}",sigmoid,validation_balanced_accuracy,0.5725835976597239,0.735632183908046,0.7711864406779662,0.7709770114942529,0.7711371096914074,0.8135057471264366,0.6699507389162561,0.672108843537415,0.7044334975369458,0.7047619047619047,0.7045195848677602,0.7465014577259476,"[[73, 32], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_extra_trees_selected_9.pkl
